user_id,most_search_month_6,most_search_month_7,category_t6,category_t7,Trending_Type,Previous
06035084,người thừa kế lồng tiếng,người thừa kế lồng tiếng việt,K-drama,K-drama,Unchanged,Unchanged
06035431,yêu tinh,huyền của ôn noãn,K-drama,C-drama,Changed,K-drama -> C-drama
06036686,HANH PHUC N,CO N,C-drama,C-drama,Unchanged,Unchanged
06037352,lolirock – vương quốc pha lê,cô nàng lọ lem trọn bộ full 10 tiếng không mất tiếng |phim ngôn tình trung quốc hay nhất 2021|phần 1,Anime,C-drama,Changed,Anime -> C-drama
06037994,jujutsu kaisen,Kẻ Trộm Mặt Trăng: Minions,Anime,animation,Changed,Anime -> animation
06038489,anh hùng,dr. stone,C-drama,Anime,Changed,C-drama -> Anime
06039014,my spy,người nhện: xa nhà,Westen,Westen,Unchanged,Unchanged
06039284,fairy tail,fairy tail,Anime,Anime,Unchanged,Unchanged
06041212,mùa hè yêu dấu của,khi nàng say giấc,K-drama,K-drama,Unchanged,Unchanged
06042327,doraemon,boy love,Anime,Thai-drama,Changed,Anime -> Thai-drama
06042523,thâm kế độc tình,làm ơn đừng sủng tôi,Viet-drama,C-drama,Changed,Viet-drama -> C-drama
06042523,thâm kế độc tình,làm ơn đừng sủng tôi,Thai-drama,C-drama,Changed,Thai-drama -> C-drama
06043956,goblin,phi vụ triệu đô,Anime,K-drama,Changed,Anime -> K-drama
06044629,giọng hát Việt nhí 2016,giọng hát Việt nhí 2017,Game shơw,Game shơw,Unchanged,Unchanged
06045121,fairy tail,CONAN,Anime,Anime,Unchanged,Unchanged
06046008,LAY D,NGUOI TINH CUA JINX,other,K-drama,Changed,other -> K-drama
06047417,cuộc chiến thượng lưu 2,người làng,K-drama,K-drama,Unchanged,Unchanged
06048545,m,voice,other,K-drama,Changed,other -> K-drama
06050603,Kynitsu no yaiba,Boku no hẻo,Anime,Anime,Unchanged,Unchanged
06050765,thiên cổ quyết trần,anh chàng bảo mẫu,C-drama,Anime,Changed,C-drama -> Anime
06054853,i can see a voice,tư đằng,Game shơw,C-drama,Changed,Game shơw -> C-drama
06055923,sếp ơi xin đung,thầy ơi… em yêu anh,Thai-drama,K-drama,Changed,Thai-drama -> K-drama
06057067,fast & furious 6,thủ lĩnh bóng tối,Westen,Westen,Unchanged,Unchanged
