Contract,Total_Giai_tri,Total_Phim_truyen,Total_The_thao,Total_Thieu_nhi,Total_Truyen_hinh,TotalDevices,MostWatch,CustomerTaste,Activeness,CustomerType
AGAAA1638,0,0,0,0,169138,1,Truyen_hinh,Truyen_hinh,moderate,3
AGAAA1647,0,0,0,0,115350,1,Truyen_hinh,Truyen_hinh,very high,6
AGAAA1658,0,0,0,0,123490,1,Truyen_hinh,Truyen_hinh,high,5
AGAAA1676,0,0,0,0,748878,1,Truyen_hinh,Truyen_hinh,very high,6
AGAAA1708,20,290,0,0,208664,1,Truyen_hinh,Truyen_hinh-Phim_truyen-Giai_tri,very high,6
AGAAA1710,0,0,0,0,902316,2,Truyen_hinh,Truyen_hinh,very high,6
AGAAA1817,0,0,0,0,106911,1,Truyen_hinh,Truyen_hinh,low,2
AGAAA1894,0,0,0,0,80789,1,Truyen_hinh,Truyen_hinh,low,2
AGAAA1906,0,0,0,0,173824,1,Truyen_hinh,Truyen_hinh,low,2
AGAAA1922,0,0,0,0,250466,1,Truyen_hinh,Truyen_hinh,very high,6
AGAAA1970,0,0,0,0,635809,1,Truyen_hinh,Truyen_hinh,high,5
AGAAA1992,0,0,0,0,75782,1,Truyen_hinh,Truyen_hinh,very low,0
AGAAA2074,0,0,0,0,442689,1,Truyen_hinh,Truyen_hinh,high,5
AGAAA2120,44,0,0,0,244985,1,Truyen_hinh,Truyen_hinh-Giai_tri,high,5
AGAAA2154,0,0,0,0,150706,1,Truyen_hinh,Truyen_hinh,moderate,3
AGAAA2194,0,0,0,0,53440,1,Truyen_hinh,Truyen_hinh,moderate,3
AGAAA2213,0,269,0,0,181013,1,Truyen_hinh,Truyen_hinh-Phim_truyen,very low,0
AGAAA2240,222,0,0,13,21812,1,Truyen_hinh,Truyen_hinh-Giai_tri-Thieu_nhi,moderate,3
AGAAA2261,0,0,0,0,2334648,1,Truyen_hinh,Truyen_hinh,high,5
AGAAA2264,0,0,0,0,557430,1,Truyen_hinh,Truyen_hinh,very high,6
AGAAA2301,0,0,0,0,147283,1,Truyen_hinh,Truyen_hinh,moderate,3
AGAAA2315,0,343,0,0,171883,1,Truyen_hinh,Truyen_hinh-Phim_truyen,high,5
AGAAA2394,0,0,0,0,86575,1,Truyen_hinh,Truyen_hinh,low,2
AGAAA2428,0,0,0,0,150820,1,Truyen_hinh,Truyen_hinh,high,5
AGAAA2470,0,0,0,0,278827,1,Truyen_hinh,Truyen_hinh,high,5
AGAAA2474,0,0,0,0,798995,1,Truyen_hinh,Truyen_hinh,very high,6
AGAAA2498,0,0,0,0,268854,1,Truyen_hinh,Truyen_hinh,very high,6
AGAAA2551,0,0,0,0,166667,1,Truyen_hinh,Truyen_hinh,very high,6
AGAAA2558,10367,0,0,455,202504,1,Truyen_hinh,Truyen_hinh-Giai_tri-Thieu_nhi,very high,6
AGAAA2588,0,0,0,0,1078595,1,Truyen_hinh,Truyen_hinh,very high,6
AGAAA2645,0,0,0,0,58204,1,Truyen_hinh,Truyen_hinh,very low,1
AGAAA2678,0,1210,0,0,172632,1,Truyen_hinh,Truyen_hinh-Phim_truyen,high,5
AGAAA2692,0,49778,0,0,127064,1,Truyen_hinh,Truyen_hinh-Phim_truyen,high,5
AGAAA2703,0,0,0,0,208590,1,Truyen_hinh,Truyen_hinh,high,5
AGAAA2734,0,0,0,0,98297,1,Truyen_hinh,Truyen_hinh,moderate,3
AGAAA2749,0,22,0,0,533899,2,Truyen_hinh,Truyen_hinh-Phim_truyen,high,5
AGAAA2768,0,0,0,0,348061,1,Truyen_hinh,Truyen_hinh,low,0
AGAAA2796,0,0,0,0,334921,1,Truyen_hinh,Truyen_hinh,low,0
AGAAA2807,45,2741,0,14,68043,1,Truyen_hinh,Truyen_hinh-Phim_truyen-Giai_tri-Thieu_nhi,high,5
AGAAA2831,0,0,0,0,241934,1,Truyen_hinh,Truyen_hinh,low,0
AGAAA2935,0,0,0,0,155626,1,Truyen_hinh,Truyen_hinh,moderate,3
AGAAA2995,0,30,0,0,145104,1,Truyen_hinh,Truyen_hinh-Phim_truyen,moderate,3
AGAAA3008,0,13,0,0,19389,1,Truyen_hinh,Truyen_hinh-Phim_truyen,high,0
AGAAA3016,0,0,0,0,324877,1,Truyen_hinh,Truyen_hinh,high,5
AGAAA3032,0,16,0,0,105,1,Truyen_hinh,Truyen_hinh-Phim_truyen,very low,1
AGAAA3040,34,37,0,113,685669,1,Truyen_hinh,Truyen_hinh-Phim_truyen-Giai_tri-Thieu_nhi,moderate,4
AGAAA3067,0,1233,0,0,123758,1,Truyen_hinh,Truyen_hinh-Phim_truyen,high,5
AGAAA3098,347,64,0,0,4360,1,Truyen_hinh,Truyen_hinh-Phim_truyen-Giai_tri,low,2
AGAAA3107,33,32,0,0,273148,1,Truyen_hinh,Truyen_hinh-Phim_truyen-Giai_tri,low,0
AGAAA3118,0,0,0,0,45769,1,Truyen_hinh,Truyen_hinh,very low,1
AGAAA3141,72,45,30,164,36338,1,Truyen_hinh,Truyen_hinh-Phim_truyen-The_thao-Giai_tri-Thieu_nhi,low,2
AGAAA3173,0,14,0,548,160017,1,Truyen_hinh,Truyen_hinh-Phim_truyen-Thieu_nhi,moderate,3
AGAAA3176,0,0,0,0,137425,1,Truyen_hinh,Truyen_hinh,moderate,3
AGAAA3180,0,0,0,0,187908,2,Truyen_hinh,Truyen_hinh,high,5
AGAAA3229,58,42,0,0,263770,1,Truyen_hinh,Truyen_hinh-Phim_truyen-Giai_tri,very low,0
AGAAA3245,38,38,0,42,50217,1,Truyen_hinh,Truyen_hinh-Phim_truyen-Giai_tri-Thieu_nhi,moderate,3
AGAAA3255,0,22,0,36,21636,1,Truyen_hinh,Truyen_hinh-Phim_truyen-Thieu_nhi,low,2
AGAAA3272,0,0,0,21,325,1,Truyen_hinh,Truyen_hinh-Thieu_nhi,very low,1
AGAAA3283,0,18970,0,29,788434,2,Truyen_hinh,Truyen_hinh-Phim_truyen-Thieu_nhi,moderate,4
AGAAA3286,0,0,0,0,34925,1,Truyen_hinh,Truyen_hinh,very low,1
AGAAA3295,0,143,0,64,41582,1,Truyen_hinh,Truyen_hinh-Phim_truyen-Thieu_nhi,low,2
AGAAA3296,13,17,0,13,1913,1,Truyen_hinh,Truyen_hinh-Phim_truyen-Giai_tri-Thieu_nhi,very low,1
AGAAA3326,35,0,0,0,101615,1,Truyen_hinh,Truyen_hinh-Giai_tri,very low,0
AGAAA3352,13,13,0,23,473413,1,Truyen_hinh,Truyen_hinh-Phim_truyen-Giai_tri-Thieu_nhi,low,0
AGAAA3364,0,1135,0,0,136759,1,Truyen_hinh,Truyen_hinh-Phim_truyen,moderate,3
AGAAA3366,0,0,0,0,6148,1,Truyen_hinh,Truyen_hinh,very low,1
AGAAA3401,0,6578,0,0,38430,1,Truyen_hinh,Truyen_hinh-Phim_truyen,moderate,3
AGAAA3476,0,0,0,0,43653,1,Truyen_hinh,Truyen_hinh,very low,1
AGAAA3542,0,0,0,162,179,1,Truyen_hinh,Truyen_hinh-Thieu_nhi,very low,1
AGAAA3591,0,7023,0,0,149,1,Phim_truyen,Truyen_hinh-Phim_truyen,very low,1
AGAAA3614,0,0,0,0,9351,1,Truyen_hinh,Truyen_hinh,very low,1
AGAAA3674,0,49,0,0,93674,1,Truyen_hinh,Truyen_hinh-Phim_truyen,low,2
AGAAA3694,0,34,0,0,263307,1,Truyen_hinh,Truyen_hinh-Phim_truyen,low,0
AGAAA3810,0,0,0,0,182982,1,Truyen_hinh,Truyen_hinh,very low,0
AGAAA3822,0,0,0,0,49129,1,Truyen_hinh,Truyen_hinh,very low,1
AGAAA3902,0,0,0,0,463,1,Truyen_hinh,Truyen_hinh,very low,1
AGAAA3994,0,0,0,0,10465,1,Truyen_hinh,Truyen_hinh,very low,1
AGD000140,0,0,0,0,9547,1,Truyen_hinh,Truyen_hinh,very low,1
AGD000546,0,0,0,0,49827,1,Truyen_hinh,Truyen_hinh,low,2
AGD000622,92,538083,0,0,121728,1,Phim_truyen,Truyen_hinh-Phim_truyen-Giai_tri,very high,6
AGD000764,0,0,0,0,2248525,2,Truyen_hinh,Truyen_hinh,very high,6
AGD000785,0,130,0,0,125904,1,Truyen_hinh,Truyen_hinh-Phim_truyen,low,2
AGD000825,0,0,0,0,78467,1,Truyen_hinh,Truyen_hinh,high,5
AGD000836,0,0,0,0,86400,1,Truyen_hinh,Truyen_hinh,very low,0
AGD001450,0,0,0,0,315392,1,Truyen_hinh,Truyen_hinh,very high,6
AGD001683,0,0,0,0,124149,1,Truyen_hinh,Truyen_hinh,moderate,3
AGD001899,0,0,0,0,672600,2,Truyen_hinh,Truyen_hinh,moderate,4
AGD001944,0,0,0,0,271394,1,Truyen_hinh,Truyen_hinh,low,0
AGD002276,0,0,0,0,1622633,1,Truyen_hinh,Truyen_hinh,high,5
AGD002386,0,0,0,0,385780,1,Truyen_hinh,Truyen_hinh,high,5
AGD002595,0,0,0,0,39083,1,Truyen_hinh,Truyen_hinh,high,0
AGD002606,0,0,0,0,75040,1,Truyen_hinh,Truyen_hinh,high,5
AGD003450,37871,365,0,0,473960,1,Truyen_hinh,Truyen_hinh-Phim_truyen-Giai_tri,moderate,4
AGD003578,0,0,0,225,607132,1,Truyen_hinh,Truyen_hinh-Thieu_nhi,very high,6
AGD003807,0,153369,0,164,4352,1,Phim_truyen,Truyen_hinh-Phim_truyen-Thieu_nhi,very high,6
AGD003946,0,0,0,0,88562,2,Truyen_hinh,Truyen_hinh,high,5
AGD004008,0,0,0,0,50281,1,Truyen_hinh,Truyen_hinh,high,0
